Source	Target	Weight
12hpf:endoderm	16hpf:lateral line primordium	0.0294736842105263
12hpf:endothelial	16hpf:lateral line primordium	0
12hpf:epidermal	16hpf:lateral line primordium	0.0694736842105263
12hpf:epidermal (foxi3a+)	16hpf:lateral line primordium	0
12hpf:epidermal (gbx2+)	16hpf:lateral line primordium	0.513684210526316
12hpf:hatching gland	16hpf:lateral line primordium	0
12hpf:hindbrain	16hpf:lateral line primordium	0
12hpf:mesoderm adaxial cells	16hpf:lateral line primordium	0
12hpf:mesoderm lateral plate	16hpf:lateral line primordium	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:lateral line primordium	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:lateral line primordium	0
12hpf:midbrain	16hpf:lateral line primordium	0
12hpf:neural anterior	16hpf:lateral line primordium	0
12hpf:neural crest	16hpf:lateral line primordium	0
12hpf:neural plate anterior	16hpf:lateral line primordium	0
12hpf:neural plate posterior	16hpf:lateral line primordium	0
12hpf:notochord	16hpf:lateral line primordium	0
12hpf:periderm	16hpf:lateral line primordium	0
12hpf:spinal cord	16hpf:lateral line primordium	0
12hpf:tailbud mesoderm	16hpf:lateral line primordium	0
12hpf:telencephalon	16hpf:lateral line primordium	0.0463157894736842
12hpf:anterior neural ridge	16hpf:lens placode	0.736363636363636
12hpf:diencephalon	16hpf:lens placode	0
12hpf:diencephalon (aplnr2+)	16hpf:lens placode	0
12hpf:differentiating neurons	16hpf:lens placode	0.0909090909090909
12hpf:endoderm	16hpf:lens placode	0
12hpf:endothelial	16hpf:lens placode	0
12hpf:epidermal	16hpf:lens placode	0.00909090909090909
12hpf:epidermal (foxi3a+)	16hpf:lens placode	0.0113636363636364
12hpf:epidermal (gbx2+)	16hpf:lens placode	0
12hpf:hatching gland	16hpf:lens placode	0
12hpf:hindbrain	16hpf:lens placode	0
12hpf:mesoderm adaxial cells	16hpf:lens placode	0
12hpf:mesoderm lateral plate	16hpf:lens placode	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:lens placode	0.0272727272727273
12hpf:mesoderm lateral plate (tbx1+)	16hpf:lens placode	0.0568181818181818
12hpf:midbrain	16hpf:lens placode	0
12hpf:neural anterior	16hpf:lens placode	0
12hpf:neural crest	16hpf:lens placode	0
12hpf:neural plate anterior	16hpf:lens placode	0
12hpf:neural plate posterior	16hpf:lens placode	0
12hpf:notochord	16hpf:lens placode	0.0681818181818182
12hpf:periderm	16hpf:lens placode	0
12hpf:spinal cord	16hpf:lens placode	0
12hpf:tailbud mesoderm	16hpf:lens placode	0
12hpf:telencephalon	16hpf:lens placode	0
12hpf:anterior neural ridge	16hpf:macrophage	0
12hpf:diencephalon	16hpf:macrophage	0
